brand,name,original_price,current_price,url,competitor
AOMU,Směs do difuzéru Energy,399.0,320.0,https://www.freshlabels.cz/en/products/aomu-smes-do-difuzeru-energy-ao010/,nila
So.Slow,Clove,490.0,490.0,https://www.freshlabels.cz/en/products/soslow-clove-sos030k/,nila
Montura,Cloud Cap,990.0,690.0,https://www.freshlabels.cz/en/products/montura-cloud-cap-mon032/,nila
Montura,Brand Cap,990.0,690.0,https://www.freshlabels.cz/en/products/montura-brand-cap-mon029/,nila
HOME STUDYO,Vase OSCAR,3090.0,2630.0,https://www.freshlabels.cz/en/products/home-studyo-vase-oscar-hom006/,nila
HOME STUDYO,Planter PIERRE,2290.0,1830.0,https://www.freshlabels.cz/en/products/home-studyo-planter-pierre-hom009/,nila
Montura,Cloud Cap,990.0,690.0,https://www.freshlabels.cz/en/products/montura-cloud-cap-mon033/,nila
Carhartt WIP,Chedda Neckwarmer,950.0,710.0,https://www.freshlabels.cz/en/products/carhartt-wip-chedda-neckwarmer-c4641/,nila
Carhartt WIP,Double Vegas Zip Wallet,1990.0,1990.0,https://www.freshlabels.cz/en/products/carhartt-wip-double-vegas-zip-wallet-c4576/,nila
Carhartt WIP,Clan Scarf,1550.0,930.0,https://www.freshlabels.cz/en/products/carhartt-wip-clan-scarf-c1578/,nila
Carhartt WIP,Clan Scarf,1550.0,1160.0,https://www.freshlabels.cz/en/products/carhartt-wip-clan-scarf-c1580/,nila
Carhartt WIP,Storm Mask,850.0,510.0,https://www.freshlabels.cz/en/products/carhartt-wip-storm-mask-c2509/,nila
Carhartt WIP,Clan Scarf,1550.0,930.0,https://www.freshlabels.cz/en/products/carhartt-wip-clan-scarf-c3996/,nila
Carhartt WIP,Scripter Beanie,650.0,490.0,https://www.freshlabels.cz/en/products/carhartt-wip-scripter-beanie-c4637/,nila
Skate World Better,Label Cap,900.0,760.0,https://www.freshlabels.cz/en/products/skate-world-better-label-cap-swb008k/,nila
ONE OF XX,Cap 4,1290.0,1290.0,https://www.freshlabels.cz/en/products/one-of-xx-cap-4-onx017k/,nila
Skate World Better,Label Cap,900.0,630.0,https://www.freshlabels.cz/en/products/skate-world-better-label-cap-swb007k/,nila
Carhartt WIP,Stratus Hat Low,650.0,490.0,https://www.freshlabels.cz/en/products/carhartt-wip-stratus-hat-low-c4673/,nila
Carhartt WIP,Camo Duck Keyholder,950.0,570.0,https://www.freshlabels.cz/en/products/carhartt-wip-camo-duck-keyholder-c4683/,nila
Carhartt WIP,Camo Duck Keyholder,950.0,570.0,https://www.freshlabels.cz/en/products/carhartt-wip-camo-duck-keyholder-c4684/,nila
FURIOSA®,Burlesque 50 ml,2990.0,2540.0,https://www.freshlabels.cz/en/products/furiosa-burlesque-50-ml-fur035/,nila
Carhartt WIP,Vegas Cardholder,990.0,740.0,https://www.freshlabels.cz/en/products/carhartt-wip-vegas-cardholder-c4575/,nila
ONE OF XX,Cap 4,1290.0,1290.0,https://www.freshlabels.cz/en/products/one-of-xx-cap-4-onx019k/,nila
VONIAK,Santorini Breeze Body and hair wash 300 ml,399.0,399.0,https://www.freshlabels.cz/en/products/voniak-santorini-breeze-body-and-hair-wash-300-ml-vo028/,nila
Rareplaces,Rare Places průvodce do kapsy,550.0,550.0,https://www.freshlabels.cz/en/products/rareplaces-rare-places-pruvodce-do-kapsy-rar001k/,nila
Carhartt WIP,Heart Patch Trucker Cap,1190.0,600.0,https://www.freshlabels.cz/en/products/carhartt-wip-heart-patch-trucker-cap-c4475/,nila
Carhartt WIP,Modality Keychain,360.0,270.0,https://www.freshlabels.cz/en/products/carhartt-wip-modality-keychain-c4562/,nila
Patagonia,Friction Belt,790.0,550.0,https://www.freshlabels.cz/en/products/patagonia-friction-belt-pg2615/,nila
Patagonia,Corduroy Cap,1290.0,770.0,https://www.freshlabels.cz/en/products/patagonia-corduroy-cap-pg2722/,nila
Carhartt WIP,Madison Logo Cap,990.0,990.0,https://www.freshlabels.cz/en/products/carhartt-wip-madison-logo-cap-c1607/,nila
Carhartt WIP,Madison Logo Cap,990.0,990.0,https://www.freshlabels.cz/en/products/carhartt-wip-madison-logo-cap-c3618/,nila
Patagonia,Friction Belt,790.0,590.0,https://www.freshlabels.cz/en/products/patagonia-friction-belt-pg2719/,nila
Carhartt WIP,Madison Logo Cap,990.0,990.0,https://www.freshlabels.cz/en/products/carhartt-wip-madison-logo-cap-c4515/,nila
Carhartt WIP,Madison Logo Cap,990.0,990.0,https://www.freshlabels.cz/en/products/carhartt-wip-madison-logo-cap-c4518/,nila
Carhartt WIP,Madison Logo Cap,990.0,740.0,https://www.freshlabels.cz/en/products/carhartt-wip-madison-logo-cap-c4520/,nila
VONIAK,Santorini Breeze Home Diffuser 100 ml,599.0,599.0,https://www.freshlabels.cz/en/products/voniak-santorini-breeze-home-diffuser-100-ml-vo015/,nila
Carhartt WIP,Camo Duck Wallet,2590.0,2590.0,https://www.freshlabels.cz/en/products/carhartt-wip-camo-duck-wallet-c4533/,nila
Carhartt WIP,Cold World Bandana,1190.0,1190.0,https://www.freshlabels.cz/en/products/carhartt-wip-cold-world-bandana-c4561/,nila
Carhartt WIP,Madison Logo Cap,990.0,740.0,https://www.freshlabels.cz/en/products/carhartt-wip-madison-logo-cap-c4516/,nila
Carhartt WIP,W' Olney Bucket Hat,1190.0,710.0,https://www.freshlabels.cz/en/products/carhartt-wip-w-olney-bucket-hat-c4786/,nila
PrintWorks,Photo Album - Family and Friends,1190.0,1190.0,https://www.freshlabels.cz/en/products/printworks-photo-album-family-and-friends-pnt058/,nila
Thinking MU,Ivory Flower TM Chris Cap,990.0,990.0,https://www.freshlabels.cz/en/products/thinking-mu-ivory-flower-tm-chris-cap-tm1107/,nila
Thinking MU,Ivory Art Will Save Us Chris Cap,990.0,840.0,https://www.freshlabels.cz/en/products/thinking-mu-ivory-art-will-save-us-chris-cap-tm1108/,nila
Service Works,Waffle Patch Beanie,990.0,840.0,https://www.freshlabels.cz/en/products/service-works-waffle-patch-beanie-sws135/,nila
Service Works,Tassel Beanie,990.0,690.0,https://www.freshlabels.cz/en/products/service-works-tassel-beanie-sws133/,nila
Service Works,Waffle Patch Beanie,990.0,690.0,https://www.freshlabels.cz/en/products/service-works-waffle-patch-beanie-sws134/,nila
Service Works,Denim Apron,1190.0,1190.0,https://www.freshlabels.cz/en/products/service-works-denim-apron-sws161/,nila
PrintWorks,Photo Album - Happy Times,1390.0,1110.0,https://www.freshlabels.cz/en/products/printworks-photo-album-happy-times-pnt046/,nila
Thinking MU,Thinking Ivory Chris Cap,990.0,990.0,https://www.freshlabels.cz/en/products/thinking-mu-thinking-ivory-chris-cap-tm1079/,nila
PrintWorks,Tumbling Towers,750.0,640.0,https://www.freshlabels.cz/en/products/printworks-tumbling-towers-pnt029/,nila
ECOALF,Wool Scarf,1990.0,1990.0,https://www.freshlabels.cz/en/products/ecoalf-wool-scarf-eco179/,nila
Carhartt WIP,Clip Belt Chrome,950.0,950.0,https://www.freshlabels.cz/en/products/carhartt-wip-clip-belt-chrome-c3919/,nila
Carhartt WIP,3 One 3 Trucker,990.0,740.0,https://www.freshlabels.cz/en/products/carhartt-wip-3-one-3-trucker-c4716/,nila
Carhartt WIP,3 One 3 Trucker,990.0,590.0,https://www.freshlabels.cz/en/products/carhartt-wip-3-one-3-trucker-c4717/,nila
HOME STUDYO,Mug GASTON,890.0,710.0,https://www.freshlabels.cz/en/products/home-studyo-mug-gaston-hom023/,nila
Armedangels,Iconic A Claasa Cotton Schal,1750.0,1220.0,https://www.freshlabels.cz/en/products/armedangels-iconic-a-claasa-cotton-schal-aa1277/,nila
HOME STUDYO,Mug GASTON,890.0,710.0,https://www.freshlabels.cz/en/products/home-studyo-mug-gaston-hom015/,nila
Carhartt WIP,Clip Belt Chrome,950.0,710.0,https://www.freshlabels.cz/en/products/carhartt-wip-clip-belt-chrome-c4718/,nila
Carhartt WIP,Clip Belt Chrome,950.0,710.0,https://www.freshlabels.cz/en/products/carhartt-wip-clip-belt-chrome-c4719/,nila
Carhartt WIP,Clip Belt Chrome,950.0,710.0,https://www.freshlabels.cz/en/products/carhartt-wip-clip-belt-chrome-c4720/,nila
Carhartt WIP,Pillbox Cap,990.0,590.0,https://www.freshlabels.cz/en/products/carhartt-wip-pillbox-cap-c4774/,nila
Carhartt WIP,Alston Cap,1190.0,710.0,https://www.freshlabels.cz/en/products/carhartt-wip-alston-cap-c4781/,nila
Karst,Hardcover Notebook A5,690.0,690.0,https://www.freshlabels.cz/en/products/karst-hardcover-notebook-a5-kar004/,nila
Service Works,Service Script Cord Cap,990.0,840.0,https://www.freshlabels.cz/en/products/service-works-service-script-cord-cap-sws173/,nila
P&T,Joie de Vivre Duo Set,690.0,550.0,https://www.freshlabels.cz/en/products/pt-joie-de-vivre-duo-set-pr103/,nila
P&T,From Dawn 'til Dusk Duo Set,690.0,690.0,https://www.freshlabels.cz/en/products/pt-from-dawn-til-dusk-duo-set-pr105/,nila
P&T,Kiss it better - Tea set,1090.0,870.0,https://www.freshlabels.cz/en/products/pt-kiss-it-better-tea-set-pr106/,nila
