brand,name,original_price,current_price,url,competitor
AOMU,Směs do difuzéru Energy,399.0,320.0,https://www.freshlabels.cz/en/products/aomu-smes-do-difuzeru-energy-ao010/,queens
So.Slow,Clove,490.0,490.0,https://www.freshlabels.cz/en/products/soslow-clove-sos030k/,queens
Montura,Cloud Cap,990.0,690.0,https://www.freshlabels.cz/en/products/montura-cloud-cap-mon032/,queens
Armedangels,Yenaas Bold,990.0,590.0,https://www.freshlabels.cz/en/products/armedangels-yenaas-bold-aa1199/,queens
Montura,Brand Cap,990.0,690.0,https://www.freshlabels.cz/en/products/montura-brand-cap-mon029/,queens
HOME STUDYO,Vase OSCAR,3090.0,2630.0,https://www.freshlabels.cz/en/products/home-studyo-vase-oscar-hom006/,queens
HOME STUDYO,Planter PIERRE,2290.0,1830.0,https://www.freshlabels.cz/en/products/home-studyo-planter-pierre-hom009/,queens
Montura,Cloud Cap,990.0,690.0,https://www.freshlabels.cz/en/products/montura-cloud-cap-mon033/,queens
Carhartt WIP,Chedda Neckwarmer,950.0,710.0,https://www.freshlabels.cz/en/products/carhartt-wip-chedda-neckwarmer-c4641/,queens
Carhartt WIP,Double Vegas Zip Wallet,1990.0,1990.0,https://www.freshlabels.cz/en/products/carhartt-wip-double-vegas-zip-wallet-c4576/,queens
Carhartt WIP,Clan Scarf,1550.0,930.0,https://www.freshlabels.cz/en/products/carhartt-wip-clan-scarf-c1578/,queens
Carhartt WIP,Clan Scarf,1550.0,1160.0,https://www.freshlabels.cz/en/products/carhartt-wip-clan-scarf-c1580/,queens
Carhartt WIP,Storm Mask,850.0,510.0,https://www.freshlabels.cz/en/products/carhartt-wip-storm-mask-c2509/,queens
Carhartt WIP,Clan Scarf,1550.0,930.0,https://www.freshlabels.cz/en/products/carhartt-wip-clan-scarf-c3996/,queens
Carhartt WIP,Scripter Beanie,650.0,490.0,https://www.freshlabels.cz/en/products/carhartt-wip-scripter-beanie-c4637/,queens
Skate World Better,Label Cap,900.0,760.0,https://www.freshlabels.cz/en/products/skate-world-better-label-cap-swb008k/,queens
ONE OF XX,Cap 4,1290.0,1290.0,https://www.freshlabels.cz/en/products/one-of-xx-cap-4-onx017k/,queens
Skate World Better,Label Cap,900.0,630.0,https://www.freshlabels.cz/en/products/skate-world-better-label-cap-swb007k/,queens
Carhartt WIP,Stratus Hat Low,650.0,490.0,https://www.freshlabels.cz/en/products/carhartt-wip-stratus-hat-low-c4673/,queens
Carhartt WIP,Camo Duck Keyholder,950.0,570.0,https://www.freshlabels.cz/en/products/carhartt-wip-camo-duck-keyholder-c4683/,queens
Carhartt WIP,Camo Duck Keyholder,950.0,570.0,https://www.freshlabels.cz/en/products/carhartt-wip-camo-duck-keyholder-c4684/,queens
FURIOSA®,Burlesque 50 ml,2990.0,2540.0,https://www.freshlabels.cz/en/products/furiosa-burlesque-50-ml-fur035/,queens
Carhartt WIP,Vegas Cardholder,990.0,740.0,https://www.freshlabels.cz/en/products/carhartt-wip-vegas-cardholder-c4575/,queens
ONE OF XX,Cap 4,1290.0,1290.0,https://www.freshlabels.cz/en/products/one-of-xx-cap-4-onx019k/,queens
VONIAK,Santorini Breeze Body and hair wash 300 ml,399.0,399.0,https://www.freshlabels.cz/en/products/voniak-santorini-breeze-body-and-hair-wash-300-ml-vo028/,queens
Rareplaces,Rare Places průvodce do kapsy,550.0,550.0,https://www.freshlabels.cz/en/products/rareplaces-rare-places-pruvodce-do-kapsy-rar001k/,queens
Carhartt WIP,Heart Patch Trucker Cap,1190.0,600.0,https://www.freshlabels.cz/en/products/carhartt-wip-heart-patch-trucker-cap-c4475/,queens
Carhartt WIP,Modality Keychain,360.0,270.0,https://www.freshlabels.cz/en/products/carhartt-wip-modality-keychain-c4562/,queens
Patagonia,Friction Belt,790.0,550.0,https://www.freshlabels.cz/en/products/patagonia-friction-belt-pg2615/,queens
Patagonia,Corduroy Cap,1290.0,770.0,https://www.freshlabels.cz/en/products/patagonia-corduroy-cap-pg2722/,queens
Carhartt WIP,Madison Logo Cap,990.0,990.0,https://www.freshlabels.cz/en/products/carhartt-wip-madison-logo-cap-c1607/,queens
Carhartt WIP,Madison Logo Cap,990.0,990.0,https://www.freshlabels.cz/en/products/carhartt-wip-madison-logo-cap-c3618/,queens
Patagonia,Friction Belt,790.0,590.0,https://www.freshlabels.cz/en/products/patagonia-friction-belt-pg2719/,queens
Carhartt WIP,Madison Logo Cap,990.0,990.0,https://www.freshlabels.cz/en/products/carhartt-wip-madison-logo-cap-c4515/,queens
Carhartt WIP,Madison Logo Cap,990.0,990.0,https://www.freshlabels.cz/en/products/carhartt-wip-madison-logo-cap-c4518/,queens
Carhartt WIP,Madison Logo Cap,990.0,740.0,https://www.freshlabels.cz/en/products/carhartt-wip-madison-logo-cap-c4520/,queens
Carhartt WIP,Camo Duck Wallet,2590.0,2590.0,https://www.freshlabels.cz/en/products/carhartt-wip-camo-duck-wallet-c4533/,queens
Carhartt WIP,Cold World Bandana,1190.0,1190.0,https://www.freshlabels.cz/en/products/carhartt-wip-cold-world-bandana-c4561/,queens
Carhartt WIP,Madison Logo Cap,990.0,740.0,https://www.freshlabels.cz/en/products/carhartt-wip-madison-logo-cap-c4516/,queens
Carhartt WIP,W' Olney Bucket Hat,1190.0,710.0,https://www.freshlabels.cz/en/products/carhartt-wip-w-olney-bucket-hat-c4786/,queens
PrintWorks,Photo Album - Good Times,1190.0,1190.0,https://www.freshlabels.cz/en/products/printworks-photo-album-good-times-pnt057/,queens
PrintWorks,Photo Album - Family and Friends,1190.0,1190.0,https://www.freshlabels.cz/en/products/printworks-photo-album-family-and-friends-pnt058/,queens
Thinking MU,Ivory Flower TM Chris Cap,990.0,990.0,https://www.freshlabels.cz/en/products/thinking-mu-ivory-flower-tm-chris-cap-tm1107/,queens
Thinking MU,Ivory Art Will Save Us Chris Cap,990.0,840.0,https://www.freshlabels.cz/en/products/thinking-mu-ivory-art-will-save-us-chris-cap-tm1108/,queens
Service Works,Waffle Patch Beanie,990.0,840.0,https://www.freshlabels.cz/en/products/service-works-waffle-patch-beanie-sws135/,queens
Service Works,Tassel Beanie,990.0,690.0,https://www.freshlabels.cz/en/products/service-works-tassel-beanie-sws133/,queens
Service Works,Waffle Patch Beanie,990.0,690.0,https://www.freshlabels.cz/en/products/service-works-waffle-patch-beanie-sws134/,queens
Service Works,Denim Apron,1190.0,1190.0,https://www.freshlabels.cz/en/products/service-works-denim-apron-sws161/,queens
PrintWorks,Photo Album - Happy Times,1390.0,1110.0,https://www.freshlabels.cz/en/products/printworks-photo-album-happy-times-pnt046/,queens
PrintWorks,Frame book,850.0,680.0,https://www.freshlabels.cz/en/products/printworks-frame-book-pnt056/,queens
Thinking MU,Thinking Ivory Chris Cap,990.0,990.0,https://www.freshlabels.cz/en/products/thinking-mu-thinking-ivory-chris-cap-tm1079/,queens
PrintWorks,Tumbling Towers,750.0,640.0,https://www.freshlabels.cz/en/products/printworks-tumbling-towers-pnt029/,queens
ECOALF,Wool Scarf,1990.0,1990.0,https://www.freshlabels.cz/en/products/ecoalf-wool-scarf-eco179/,queens
Carhartt WIP,Clip Belt Chrome,950.0,950.0,https://www.freshlabels.cz/en/products/carhartt-wip-clip-belt-chrome-c3919/,queens
Carhartt WIP,3 One 3 Trucker,990.0,740.0,https://www.freshlabels.cz/en/products/carhartt-wip-3-one-3-trucker-c4716/,queens
Carhartt WIP,3 One 3 Trucker,990.0,590.0,https://www.freshlabels.cz/en/products/carhartt-wip-3-one-3-trucker-c4717/,queens
HOME STUDYO,Mug GASTON,890.0,710.0,https://www.freshlabels.cz/en/products/home-studyo-mug-gaston-hom023/,queens
Armedangels,Iconic A Claasa Cotton Schal,1750.0,1220.0,https://www.freshlabels.cz/en/products/armedangels-iconic-a-claasa-cotton-schal-aa1277/,queens
HOME STUDYO,Mug GASTON,890.0,710.0,https://www.freshlabels.cz/en/products/home-studyo-mug-gaston-hom015/,queens
Carhartt WIP,Clip Belt Chrome,950.0,710.0,https://www.freshlabels.cz/en/products/carhartt-wip-clip-belt-chrome-c4718/,queens
Carhartt WIP,Clip Belt Chrome,950.0,710.0,https://www.freshlabels.cz/en/products/carhartt-wip-clip-belt-chrome-c4719/,queens
Carhartt WIP,Clip Belt Chrome,950.0,710.0,https://www.freshlabels.cz/en/products/carhartt-wip-clip-belt-chrome-c4720/,queens
Carhartt WIP,Pillbox Cap,990.0,590.0,https://www.freshlabels.cz/en/products/carhartt-wip-pillbox-cap-c4774/,queens
Carhartt WIP,Alston Cap,1190.0,710.0,https://www.freshlabels.cz/en/products/carhartt-wip-alston-cap-c4781/,queens
Karst,Hardcover Notebook A5,690.0,690.0,https://www.freshlabels.cz/en/products/karst-hardcover-notebook-a5-kar004/,queens
Service Works,Service Script Cord Cap,990.0,840.0,https://www.freshlabels.cz/en/products/service-works-service-script-cord-cap-sws173/,queens
P&T,Joie de Vivre Duo Set,690.0,550.0,https://www.freshlabels.cz/en/products/pt-joie-de-vivre-duo-set-pr103/,queens
P&T,From Dawn 'til Dusk Duo Set,690.0,690.0,https://www.freshlabels.cz/en/products/pt-from-dawn-til-dusk-duo-set-pr105/,queens
P&T,Kiss it better - Tea set,1090.0,870.0,https://www.freshlabels.cz/en/products/pt-kiss-it-better-tea-set-pr106/,queens
P&T,What friend are for - Tea set,1090.0,870.0,https://www.freshlabels.cz/en/products/pt-what-friend-are-for-tea-set-pr107/,queens
Karst,Hardcover Notebook A5,690.0,690.0,https://www.freshlabels.cz/en/products/karst-hardcover-notebook-a5-kar002/,queens
Karst,Hardcover Notebook A5,690.0,550.0,https://www.freshlabels.cz/en/products/karst-hardcover-notebook-a5-kar003/,queens
P&T,Golden Earl Caddy BIO 60g,790.0,670.0,https://www.freshlabels.cz/en/products/pt-golden-earl-caddy-bio-60g-pr111/,queens
Karst,Studio Muse Notebook,750.0,600.0,https://www.freshlabels.cz/en/products/karst-studio-muse-notebook-kar006/,queens
Karst,Studio Muse Notebook,750.0,640.0,https://www.freshlabels.cz/en/products/karst-studio-muse-notebook-kar007/,queens
Karst,Softcover Notebook A5,650.0,520.0,https://www.freshlabels.cz/en/products/karst-softcover-notebook-a5-kar012/,queens
Karst,Mark Conlan Puzzle,1590.0,1270.0,https://www.freshlabels.cz/en/products/karst-mark-conlan-puzzle-kar015/,queens
Herschel Supply,Tyler Wallet,890.0,710.0,https://www.freshlabels.cz/en/products/herschel-supply-tyler-wallet-he4065/,queens
P&T,Queen's Grace Caddy BIO 80g,790.0,630.0,https://www.freshlabels.cz/en/products/pt-queens-grace-caddy-bio-80g-pr112/,queens
P&T,Kumano No.313 Caddy BIO 80g,790.0,630.0,https://www.freshlabels.cz/en/products/pt-kumano-no313-caddy-bio-80g-pr113/,queens
Herschel Supply,Tyler Wallet,890.0,710.0,https://www.freshlabels.cz/en/products/herschel-supply-tyler-wallet-he4067/,queens
Herschel Supply,Whaler Tall Mesh Gas Station Cap,890.0,620.0,https://www.freshlabels.cz/en/products/herschel-supply-whaler-tall-mesh-gas-station-cap-he4026/,queens
Herschel Supply,Marina Mesh WW Patch Cap,890.0,620.0,https://www.freshlabels.cz/en/products/herschel-supply-marina-mesh-ww-patch-cap-he4081/,queens
Herschel Supply,Scout Pennant Cap,990.0,840.0,https://www.freshlabels.cz/en/products/herschel-supply-scout-pennant-cap-he4028/,queens
Herschel Supply,Marina Mesh WW Patch Cap,890.0,760.0,https://www.freshlabels.cz/en/products/herschel-supply-marina-mesh-ww-patch-cap-he4080/,queens
Service Works,Moleskin Apron,1590.0,1270.0,https://www.freshlabels.cz/en/products/service-works-moleskin-apron-sws165/,queens
Service Works,Moleskin Apron,1590.0,1590.0,https://www.freshlabels.cz/en/products/service-works-moleskin-apron-sws166/,queens
Dickies,Orcutt Webbing Belt,490.0,490.0,https://www.freshlabels.cz/en/products/dickies-orcutt-webbing-belt-di443/,queens
SKFK,Zala-GOTS Hat,890.0,620.0,https://www.freshlabels.cz/en/products/skfk-zala-gots-hat-skf324/,queens
Herschel Supply,Whaler Tall Mesh Gas Station Cap,890.0,760.0,https://www.freshlabels.cz/en/products/herschel-supply-whaler-tall-mesh-gas-station-cap-he4025/,queens
Herschel Supply,Marina Mesh Fish Cap,890.0,620.0,https://www.freshlabels.cz/en/products/herschel-supply-marina-mesh-fish-cap-he4027/,queens
Service Works,Moleskin Apron,1590.0,1350.0,https://www.freshlabels.cz/en/products/service-works-moleskin-apron-sws164/,queens
Herschel Supply,Vintage Ranger Cap,1190.0,1010.0,https://www.freshlabels.cz/en/products/herschel-supply-vintage-ranger-cap-he4030/,queens
Herschel Supply,Roy Wallet Vegan Leather,990.0,990.0,https://www.freshlabels.cz/en/products/herschel-supply-roy-wallet-vegan-leather-he4032/,queens
Herschel Supply,Thomas,1450.0,1160.0,https://www.freshlabels.cz/en/products/herschel-supply-thomas-he4064/,queens
Herschel Supply,3 Pack Elmer Beanie,1590.0,1110.0,https://www.freshlabels.cz/en/products/herschel-supply-3-pack-elmer-beanie-he4074/,queens
Herschel Supply,Boucle Pom Solid Beanie,1190.0,830.0,https://www.freshlabels.cz/en/products/herschel-supply-boucle-pom-solid-beanie-he4078/,queens
Herschel Supply,Whaler Tall Corduroy CS Cap,890.0,890.0,https://www.freshlabels.cz/en/products/herschel-supply-whaler-tall-corduroy-cs-cap-he4079/,queens
Armedangels,Yenaas Changemakers,1190.0,710.0,https://www.freshlabels.cz/en/products/armedangels-yenaas-changemakers-aa1316/,queens
Patagonia,Brodeo Beanie,1290.0,900.0,https://www.freshlabels.cz/en/products/patagonia-brodeo-beanie-pg2799/,queens
Nuuna,Break The Grid L,850.0,680.0,https://www.freshlabels.cz/en/products/nuuna-break-the-grid-l-nuu005/,queens
Nuuna,Break The Grid S,650.0,520.0,https://www.freshlabels.cz/en/products/nuuna-break-the-grid-s-nuu006/,queens
Nuuna,Inspiration Book M,650.0,520.0,https://www.freshlabels.cz/en/products/nuuna-inspiration-book-m-nuu016/,queens
Nuuna,Graphic L,790.0,630.0,https://www.freshlabels.cz/en/products/nuuna-graphic-l-nuu021/,queens
Fjällräven,Expedition Padded Cap,1590.0,1110.0,https://www.freshlabels.cz/en/products/fjallraven-expedition-padded-cap-fj1532/,queens
